sha1_hash,tlsh,signature
003230a2525a22abb0b52694c7706e6731139f4f,4AF4F189B3317961DE2AB27405D78FD1BAA4C507A12253AF9140F353BD17BEA3E3A0D4,Quakbot
008b274ebf57251309123686e0af5a457e4365f0,7CF4F189B7257A61DE3A727015D78ED07A99D517A02203EFA040F353BC16BEA3F7A0D4,Quakbot
00152124881689c91b3e931eb4dbe26a6e9e024e,00146F05F4FCBD7AD2124EF10F9AEAA645F1F8F5472B66923218762C163AE70C943274,Heodo
004c5ffd59b4b146e62b660df207df8e6b672080,AB345A5B97C9AB96E78253710A1BEA2400959C783821421FBDCD3EFE7F79B680D71306,Heodo
0053e851c0208ed77249c8abe9bd4d421544b7d7,68C32F34AAC25C2BF52AC17007C5ABE6166F9CF234B8F46226D07F1C56B4544EAE43DE,Heodo
00a3ab5c7565d235087c7da181abc82bff797525,73345FC06D83FDC6FDA4CD314DBAD678E23578405815E605E0A9BF284E6EC9CE361E86,NO_SIG
007d6638a1f5458cae1fe44b3b18f18a82cd1116,ABB2AF5AE12849CCE27F583D6544EC694208A4E51A02E18F31ACF6866B691C39FDF37F,NO_SIG
0020192ddde9efa66451aec349a9117b71518a8f,53F3850E1AD1994EF33A4E7027D8AAED1852DCF4499D40673288B7257737B40E9E1BF8,Heodo
00d46d09b0720c8fb0c4e2d426d8b8819b46241c,03B2AF5AE12849CCE27F583D6544EC694208A4E51A02E18F31ACF6862B691C39FCF37F,NO_SIG
001bddbe2d8b6999f32dd6c6707ce2226b29cf22,0874F102E5C74C3AD2656435063D3975DAB8DF1417BD9B2336C8C96B2899888DF3EB0B,TrickBot
0090abe2fed8d34302cbd996c9d1abdfa353612d,FAD49C2132A0C436D16736748DAAE77466AABC704E3553877BD02F7D2F345C2AA3871B,Heodo
00175a2050235056bcfc4c4c37c11b0d1fac33b9,2184122D75F4C915FEAB0736897DAD4A4A3DBD13EA439A4F0180B21F4DB27980DC65D0,NanoCore
0040475885bb35c31aa9430c307e6369e0636061,D7A423D01090A935E6EDC27E2A4EB511AD7D5C70D7387B58066B6E66C2ECBB053C30FA,AgentTesla
00452ff6280cc4ff0f01531aed2a5ae22edb9210,3374AD89B6257A65DE3A727411C78FC1B994D007602253AFE040F397BC17BEA3E7A1E4,Quakbot
000ef2a4f1b2e3ac50b271d02285803c403b49ce,88345CA3B18D7E16D9E31EF01F8ADBB8E598BC413A4842DBF4097B7D2FB90D41A45424,Heodo
